doc_id,company_name,stock_code,grant_amount,grant_ratio,participant_count,exercise_price,market_price,discount_rate,waiting_period,validity_period,employee_count,participant_ratio
1217971208,盈方微,670,1633.0,1.0,62.0,6.32,5.92,-6.76,48.0,48.0,1123.0,5.5209
1218332253,紫金矿业,601899,4200.0,0.16,13.0,12.0,11.87,-1.1,60.0,60.0,,
1218332266,紫金矿业,2899,4200.0,0.16,13.0,12.0,11.87,-1.1,60.0,60.0,,
1218247780,纵横通信,603602,365.0,13.19,5.0,15.41,15.403,-0.05,18.0,60.0,1775.0,0.2817
1217835309,宏川智慧,2930,578.0,15.78,191.0,22.28,22.28,0.0,12.0,48.0,1688.0,11.3152
1218192399,"创远仪器,创远信科",831961,1000.0,1.0,150.0,4.55,7.47,39.09,18.0,54.0,2620.0,5.7252
1218110702,索菱股份,2766,2689.5,0.22,25.0,5.19,5.08,-2.17,16.0,52.0,806.0,3.1017
1218077508,亿纬锂能,300014,5825.04,1.0,44.0,70.0,44.03,-58.98,18.0,48.0,9421.0,0.467
1217983455,金雷股份,300443,200.0,4.27,53.0,29.77,29.77,0.0,12.0,60.0,3420.0,1.5497
1217970371,天融信,2212,72.441,0.0611,27.0,9.26,8.9,-4.04,60.0,60.0,1362.0,1.9824
1217907903,神通科技,605228,2443.0,13.01,180.0,10.43,10.31,-1.16,12.0,60.0,2040.0,8.8235
1217716758,游族网络,2174,1272.0295,16.7817,359.0,13.22,13.22,0.0,12.0,48.0,1815.0,19.7796
1217719500,龙蟠科技,603906,615.0,3.09,199.0,11.92,13.85,13.94,12.0,36.0,3452.0,5.7648
1217701258,保隆科技,603197,899.35,1.0,483.0,45.11,56.4,20.02,36.0,36.0,4667.0,10.3493
1217676143,环旭电子,601231,1523.2,1.0,421.0,14.54,14.095,-3.16,12.0,36.0,4938.0,8.5257
1217238474,移远通信,603236,793.7,13.11,313.0,54.84,55.37,0.96,18.0,54.0,8044.0,3.8911
1217185589,煌上煌,2695,1500.0,16.2675,222.0,8.14,10.74,24.21,12.0,60.0,1638.0,13.5531
1217183595,先惠技术,688155,331.364,13.38,718.0,54.0,53.97,-0.06,12.0,60.0,10707.0,6.7059
1217576579,海利生物,603718,3200.0,2.8,99.0,9.55,9.53,-0.21,36.0,48.0,786.0,12.5954
1217133288,岱勒新材,300700,228.0,1.0,34.0,16.57,16.57,0.0,36.0,36.0,2112.0,1.6098
1217500803,胜利精密,2426,10000.0,17.51,267.0,2.42,2.42,0.0,18.0,60.0,481.0,55.5094
1217479928,飞鹿股份,300665,2238.7,12.27,68.0,8.62,8.27,-4.23,12.0,48.0,1285.0,5.2918
1217471926,闻泰科技,600745,1264.668,1.02,1903.0,38.59,48.24,20.0,12.0,48.0,5080.0,37.4606
1217468349,禾信仪器,688622,347.8,13.13,74.0,33.04,32.57,-1.44,12.0,48.0,16603.0,0.4457
1217469430,奥拓电子,2587,600.0,1.0,90.0,6.93,6.93,0.0,12.0,48.0,737.0,12.2117
1217469409,奇安信,688561,1357.3185,1.0,921.0,52.01,52.01,0.0,12.0,60.0,7430.0,12.3957
1217013816,家家悦,603708,1480.5,1.0,372.0,13.1,13.1,0.0,12.0,60.0,1416.0,26.2712
1216978740,华体科技,603679,810.0,13.5924,98.0,13.93,13.92,-0.07,12.0,60.0,2124.0,4.6139
1216958709,法本信息,300925,229.62,1.0,68.0,14.9,14.9,0.0,12.0,60.0,2807.0,2.4225
1217275133,韵达股份,2120,3557.0,1.0,361.0,9.73,9.6,-1.35,20.0,60.0,906.0,39.8455
1217265528,高能环境,603588,3569.664,1.0,752.0,9.33,9.33,0.0,12.0,60.0,1856.0,40.5172
1216876805,粤海饲料,1313,2750.0,1.0,246.0,9.03,9.03,0.0,12.0,60.0,996.0,24.6988
1216875964,三孚新科,688359,450.0,1.0,9.0,80.0,76.33,-4.81,48.0,48.0,14600.0,0.0616
1216869668,苏州科达,603660,1839.32,1.53,947.0,7.7,7.7,0.0,12.0,36.0,1453.0,65.1755
1216854623,瑞茂通,600180,6690.0,6.36,143.0,6.28,6.28,0.0,36.0,36.0,507.0,28.2051
1216701190,思源电气,2028,2200.0,1.36,477.0,45.7,45.7,0.0,60.0,60.0,23912.0,1.9948
1216657867,柳    工,528,5854.0,4.5,1100.0,7.2,7.2,0.0,24.0,72.0,1270.0,86.6142
1216667786,歌力思,603808,1340.0,1.45,490.0,11.04,11.04,0.0,12.0,42.0,1136.0,43.1338
1217056112,爱旭股份,600732,5422.978,0.67,1126.0,38.02,38.02,0.0,12.0,48.0,1780.0,63.2584
1216557087,直真科技,3007,165.5212,2.0962,68.0,23.1,28.31,18.4,12.0,48.0,5974.0,1.1383
1216441792,香飘飘,603711,1357.0,7.74,39.0,14.74,18.42,19.98,12.0,60.0,1730.0,2.2543
1216380818,遥望科技,2291,5073.579,0.52,269.0,14.33,15.92,9.99,12.0,48.0,928.0,28.9871
1216822018,绿盟科技,300369,1942.43,5.0,469.0,13.54,11.44,-18.36,48.0,48.0,1190.0,39.4118
1216809098,华岭股份,430139,800.0,1.0,45.0,5.43,10.33,47.43,12.0,60.0,2348.0,1.9165
1216167983,悦心健康,2162,900.0,20.1,84.0,3.41,4.36,21.79,12.0,48.0,645.0,13.0233
1216168385,爱玛科技,603529,696.0,15.8036,328.0,48.07,60.09,20.0,12.0,48.0,3718.0,8.8219
1216115804,同力股份,834599,1000.0,1.0,12.0,5.04,6.98,27.79,12.0,48.0,1200.0,1.0
1216666794,淳中科技,603516,324.4,13.9423,221.0,18.03,20.03,9.99,12.0,36.0,26760.0,0.8259
1216561147,兴业科技,2674,1670.0,3.77,251.0,8.19,10.68,23.31,12.0,60.0,1860.0,13.4946
1216381400,振江股份,603507,122.5,1.0,15.0,37.06,37.06,0.0,48.0,48.0,4977.0,0.3014
1215457366,因赛集团,300781,100.0,21.545,112.0,13.03,17.47,25.41,12.0,60.0,5806.0,1.929
1216301238,禾望电气,603063,2452.0,1.0,354.0,27.65,27.65,0.0,12.0,60.0,6700.0,5.2836
1216274414,神州信息,555,3717.0,19.1,259.0,13.64,13.64,0.0,28.0,52.0,2302.0,11.2511
1216281403,ST同洲,2052,5237.5,1.0,95.0,2.07,2.06,-0.49,12.0,60.0,2100.0,4.5238
1216271792,济民医疗,603222,330.0,15.58,42.0,12.01,12.01,0.0,12.0,60.0,1510.0,2.7815
1216277571,铂科新材,300811,138.7,1.686,233.0,90.49,90.49,0.0,12.0,60.0,10199.0,2.2845
1215650729,欧菲光,2456,7500.0,2.67,116.0,4.99,4.98,-0.2,13.0,72.0,1484.0,7.8167
1214945342,长园集团,600525,1830.0,2.186,112.0,4.97,4.98,0.2,12.0,36.0,611.0,18.3306
1214826802,元隆雅图,2878,937.5,2.49,35.0,13.65,15.74,13.28,12.0,60.0,2742.0,1.2764
1214825162,神雾节能,820,3186.2261,21.63,16.0,3.52,5.03,30.02,12.0,36.0,432.0,3.7037
